Returning 1
are 2
as 2
comes 3
conceited 1
course 1
day 1
drawing 1
establishes 1
heart. 1
imagination 1
inhabited 1
leaves. 1
next 2
plans 1
snake, 1
source 1
spot 1
tells 4
time 1
two 1
universe. 1
very 3
who 12
and 15
are. 1
baobab 1
be 3
bigger 1
body 1
calls 1
days, 1
demands 1
describe 1
drinking. 1
drunkard, 1
enough 1
featuring 1
function 1
know 2
knows 2
learns 2
little 6
maintains 1
mentions 1
obliges. 1
of 11
once 1
out 2
owns 1
poisonous 1
pulling 1
recommends 1
requires 2
roots. 1
search 1
she 1
spent 1
subsequently 1
up 1
wants 1
water. 1
asteroid 1
asteroids, 1
believes 1
beloved 1
can 1
claimed, 1
contact 1
fast 1
flower. 1
fourth 1
friend 1
geographer, 1
grow 1
grown-up 1
has 3
he 16
however, 1
lamp 1
makes 1
many 1
morning, 2
obedience 1
pilot 1
require 1
rose 3
tames 1
than 1
though 1
travels 1
unique 2
vanity 1
whether 1
wonders 1
Earth 1
On 2
a 25
about 1
across 1
been 1
bite 1
child 2
crash-landed 1
drew 1
encounters 2
first 1
flowers 1
grows 1
himself 1
his 15
house, 1
in 5
inhabitant 1
later. 1
learned 1
loves 1
missing 1
nothing 2
now 3
prince. 2
series 1
so 2
stars 2
ties 1
visit 1
A 1
Earth. 1
an 1
ate 1
boy 2
desert 2
ephemeral. 1
few 1
flower 1
fox—then 1
home, 1
imploring 1
is 8
life. 1
meets 2
must 1
narrator 7
no 2
planet 6
prince 15
prince, 2
prince’s 1
return 2
them. 1
tiny 1
understanding. 1
what 1
with 2
B-612. 1
He 5
However, 1
One 1
because 3
become 1
but 3
days 1
eight 1
ends 1
explains 1
explorers. 1
flattery. 1
follows 1
for 2
fox 1
garden, 1
geographer. 1
introduces 2
is, 1
joy 1
meaningful 1
night 1
occur 1
planet, 5
planet. 1
reader 1
recorded 1
resumes 1
run 1
seedlings, 1
sheep 1
six 1
small 2
snake 1
spends 1
story 1
to 20
until 1
when 2
which 3
years 1
Finally 1
Over 1
adults 1
allowing 1
arrival 1
asteroid-planet, 1
dawn 1
desert. 1
engulf 1
evening 1
every 1
exactly 1
fox—that 1
her 2
home 1
important 1
king 1
lack 2
learn 1
much 1
not 1
not, 1
on 2
one 1
orders 1
other. 1
own 1
put 1
reduced 1
sole 2
subjects 1
the 41
too 1
well, 1
which, 1
The 15
all 1
anthropomorphic 1
ashamed 1
asks 2
big 1
both 1
businessman, 1
by 2
depressing 1
drink 1
dusk 1
each 4
even 1
ever 1
find. 1
finds 1
flower, 2
forget 1
from 3
function. 1
geographer 2
have 2
him 7
him. 1
how 2
if 2
it 4
lamplighter, 1
lest 1
light 1
living 1
man 2
minute. 1
miraculously, 1
narrator, 2
people 1
record 1
returned 1
says 3
sheep, 1
spins 1
stars, 1
that 20
then 3
there 1
they 5
traverse 1
was 2
will 3
